name,link,price,year,mileage,miles_pa,owners,distance,location,engine,transmission,fuel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403207785212?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_cars&fromsra,5890,2011.0,81000.0,6230,-1,54,Milton Keynes,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403267983145?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=3&postcode=E1%206AN&advertising-location=at_cars&fromsra,5930,2010.0,53030.0,3787,2,109,Walsall,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403267990277?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=6&postcode=E1%206AN&advertising-location=at_cars&fromsra,5990,2013.0,67000.0,6090,2,153,Crewe,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403278024859?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=13&postcode=E1%206AN&advertising-location=at_cars&fromsra,5995,2015.0,83000.0,9222,-1,242,Washington,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403187710021?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=8&postcode=E1%206AN&advertising-location=at_cars&fromsra,5995,2012.0,37950.0,3162,1,165,Wakefield,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403187707623?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=10&postcode=E1%206AN&advertising-location=at_cars&fromsra,5995,2012.0,80121.0,6676,3,179,Birkenhead,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403237883599?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=21&postcode=E1%206AN&advertising-location=at_cars&fromsra,6000,2013.0,94000.0,8545,2,69,Fareham,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402297075238?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=12&postcode=E1%206AN&advertising-location=at_cars&fromsra,6000,2012.0,85740.0,7145,3,157,Stockport,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403057221733?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=16&postcode=E1%206AN&advertising-location=at_cars&fromsra,6190,2013.0,98402.0,8945,2,167,Leeds,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403127481362?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=4&postcode=E1%206AN&advertising-location=at_cars&fromsra,6495,2012.0,60654.0,5054,1,93,Nuneaton,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402216800452?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=9&postcode=E1%206AN&advertising-location=at_cars&fromsra,6495,2010.0,39000.0,2785,-1,52,Herne Bay,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403107415561?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=6&postcode=E1%206AN&advertising-location=at_cars&fromsra,6500,2012.0,46766.0,3897,-1,109,Lye,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403288073906?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=47&postcode=E1%206AN&advertising-location=at_cars&fromsra,6799,2014.0,58000.0,5800,2,88,Evesham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202311073731173?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=9&postcode=E1%206AN&advertising-location=at_cars&fromsra,6990,2014.0,76000.0,7600,2,153,Crewe,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403288076891?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_cars&fromsra,6994,2015.0,89154.0,9906,2,32,Maidstone,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402226844295?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=8&postcode=E1%206AN&advertising-location=at_cars&fromsra,6995,2012.0,34000.0,2833,3,66,Eastleigh,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402226838450?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=5&postcode=E1%206AN&advertising-location=at_cars&fromsra,6995,2016.0,116000.0,14500,2,93,Trowbridge,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403257946067?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=3&postcode=E1%206AN&advertising-location=at_cars&fromsra,7000,2014.0,73000.0,7300,1,53,St. Leonards On Sea,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202312224995172?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=11&postcode=E1%206AN&advertising-location=at_cars&fromsra,7295,2013.0,66752.0,6068,-1,148,Doncaster,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403227856445?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=14&postcode=E1%206AN&advertising-location=at_cars&fromsra,7350,2011.0,50499.0,3884,-1,95,Norwich,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403127495430?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=7&postcode=E1%206AN&advertising-location=at_cars&fromsra,7374,2014.0,69680.0,6968,2,113,Nottingham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403267991839?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=6&postcode=E1%206AN&advertising-location=at_cars&fromsra,7400,2013.0,45473.0,4133,2,106,Farmborough,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402186694610?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=16&postcode=E1%206AN&advertising-location=at_cars&fromsra,7475,2013.0,31650.0,2877,3,176,Bradford,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202311244259293?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=25&postcode=E1%206AN&advertising-location=at_cars&fromsra,7495,2013.0,73200.0,6654,-1,217,Stockton On Tees,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202210271118901?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=25&postcode=E1%206AN&advertising-location=at_cars&fromsra,7595,2017.0,117679.0,16811,-1,183,Blackburn,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202312305134097?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=10&postcode=E1%206AN&advertising-location=at_cars&fromsra,7750,2017.0,55000.0,7857,1,185,Blackburn,1.6L,Manual,Diesel
