make,model,engine,trim,mileage,year,transmission,fuel,price,url
Toyota,Yaris,1.5,VVT-h Excel E-CVT (116 ps),14920,2021,Automatic,Hybrid,18956,www.cazoo.co.uk/car-details/60d5ba3b-fd94-5458-a2fc-3971f7380786/
Honda,Jazz,1.3,i-VTEC EX Navi (102 ps),43542,2018,Manual,Petrol,11081,www.cazoo.co.uk/car-details/c6862f43-571f-5c45-a704-86ca7f794190/
Honda,Jazz,1.5,i-VTEC Sport (130 ps),28483,2019,Manual,Petrol,11823,www.cazoo.co.uk/car-details/0af28af5-b8b2-5963-bdec-5aa4e1a0e9ba/
Honda,Jazz,1.3,i-VTEC EX Navi (102 ps),24350,2020,Manual,Petrol,13596,www.cazoo.co.uk/car-details/55151fbd-893b-564a-a892-dedcbf114fd9/
Honda,Jazz,1.5,h i-MMD SE eCVT (107 ps),30547,2021,Automatic,Hybrid,14349,www.cazoo.co.uk/car-details/1a21fdc7-d26d-51c6-8de8-b60ae0abd6c1/
Honda,Jazz,1.5,h i-MMD SE eCVT (107 ps),18777,2021,Automatic,Hybrid,15607,www.cazoo.co.uk/car-details/b31d33b9-fa77-5d76-ae39-9c59ae887188/
Ford,Fiesta,1.5,TDCi Zetec (75 ps),35043,2016,Manual,Diesel,8109,www.cazoo.co.uk/car-details/dc10a496-2120-5591-a1d0-ac7bfe432914/
Ford,Fiesta,1.0T,EcoBoost GPF Zetec (100 ps),40612,2019,Manual,Petrol,9750,www.cazoo.co.uk/car-details/cd3d8450-3f16-5926-8ca4-b895fd96d9d9/
Ford,Fiesta,1.0T,EcoBoost GPF ST-Line (100 ps),41250,2019,Manual,Petrol,10342,www.cazoo.co.uk/car-details/61438da6-94ad-56cd-8020-1eff9d3b645c/
Ford,Fiesta,1.0T,EcoBoost ST-Line (100 ps),30240,2018,Manual,Petrol,10822,www.cazoo.co.uk/car-details/38f440fd-120e-5bfa-aa2f-40ff0c5f3494/
Ford,Fiesta,1.0T,EcoBoost GPF ST-Line (125 ps),26944,2018,Manual,Petrol,11277,www.cazoo.co.uk/car-details/609fc79a-d8a1-5dc0-abd8-6d628ff580ff/
Ford,Fiesta,1.0T,EcoBoost Titanium Powershift (100 ps),22180,2017,Automatic,Petrol,11576,www.cazoo.co.uk/car-details/7a33d428-f471-59ec-b282-2721b75b4aa7/
Ford,Fiesta,1.0T,EcoBoost GPF Titanium (100 ps),16696,2019,Manual,Petrol,12120,www.cazoo.co.uk/car-details/ed577fa8-a2f1-564b-ac04-70deca1c8fd1/
Ford,Fiesta,1.5T,EcoBoost ST-3 (200 ps),42207,2019,Manual,Petrol,14462,www.cazoo.co.uk/car-details/a1c56437-cb7e-50f5-a3e7-085ab703797e/
Ford,Fiesta,1.0T,EcoBoost ST-Line (100 ps),11186,2022,Manual,Petrol,15022,www.cazoo.co.uk/car-details/c942fddc-c58c-5c27-b7cc-e22d31613b83/
Ford,Fiesta,1.0T,EcoBoost MHEV ST-Line X Edition (125 ps),3071,2020,Manual,Petrol,15718,www.cazoo.co.uk/car-details/b3d6e2ea-678a-50aa-9eaf-bbeb9afa7b27/
Ford,Fiesta,1.0T,EcoBoost ST-Line (100 ps),7101,2022,Manual,Petrol,16849,www.cazoo.co.uk/car-details/19b56e20-cf38-53f2-8ffd-c26c4c58dc4a/
Ford,Fiesta,1.0T,EcoBoost MHEV ST-Line DCT (125 ps),2453,2022,Automatic,Hybrid,18006,www.cazoo.co.uk/car-details/dc31fbec-f5ae-5644-a8c5-581013536728/
Ford,Fiesta,1.5T,EcoBoost ST-3 (200 ps),8560,2022,Manual,Petrol,19995,www.cazoo.co.uk/car-details/f2427397-99bf-5b82-99b2-378dfcc5755c/
Kia,Picanto,1.0,DPi 3 (66 bhp),13416,2022,Manual,Petrol,12244,www.cazoo.co.uk/car-details/6ff950ff-baa3-5f45-8b95-4e6ef30d8aa8/
Kia,Picanto,1.25,3 (83 bhp),10474,2018,Automatic,Petrol,12836,www.cazoo.co.uk/car-details/017cee86-6a84-5a79-9432-25d763ab2623/
Hyundai,i10,1.0,S (67 ps),23431,2019,Manual,Petrol,7637,www.cazoo.co.uk/car-details/bf4e11d5-5061-5508-bb29-f70fc4bd4dc5/
Hyundai,i10,1.0,SE (67 ps),18793,2018,Manual,Petrol,8028,www.cazoo.co.uk/car-details/8ad6238d-3f83-5cb9-8a93-d0ffdece944c/
Seat,Ibiza,1.0,TSI XCELLENCE (110 ps),28216,2021,Manual,Petrol,13555,www.cazoo.co.uk/car-details/b5759a23-9958-55cd-b091-58b02098b703/
Audi,A1,1.4,TFSI Sport Sportback (125 ps),41248,2017,Manual,Petrol,10975,www.cazoo.co.uk/car-details/384802dd-c76f-5263-b72d-1921048836af/
Audi,A1,1.6,TDI S line Sportback (116 ps),41440,2016,Manual,Diesel,11074,www.cazoo.co.uk/car-details/2e14b8fa-0a66-51d4-a83e-5c37d83cb597/
Audi,A1,1.0,TFSI Sport Sportback (Nav) (95 ps),34590,2018,Manual,Petrol,12598,www.cazoo.co.uk/car-details/ae78a0cc-32e6-52cb-8f8c-5f4be838279b/
Audi,A1,1.4,TFSI CoD Black Edition Sportback S Tronic (150 ps),49954,2016,Automatic,Petrol,12976,www.cazoo.co.uk/car-details/abdd9dfc-c7c6-5ee4-9521-081eab7f1061/
Audi,A1,1.0,TFSI 30 Sport Sportback S Tronic (110 ps),25472,2021,Automatic,Petrol,17951,www.cazoo.co.uk/car-details/f69c1302-9780-5c78-b4ac-5acf89e4bb86/
Audi,A1,1.0,TFSI 25 Sport Sportback S Tronic (95 ps),21721,2021,Automatic,Petrol,18103,www.cazoo.co.uk/car-details/e2dbe68c-9b9c-591c-ae1a-d1dc6da2b640/
Audi,A1,2.0,TFSI 40 S line Competition Sportback S Tronic (200 ps),15078,2019,Automatic,Petrol,20070,www.cazoo.co.uk/car-details/7333baf8-88f6-5286-be5f-23bd2133cf0b/
